Name,Date,Body weight,Shape,Sleep,Calories,Stress
"Exercise, Leg Press Calf Raise (Cable)",Set,3,reps,11,weight,100
"Exercise, Romanian Deadlift",Set,1,reps,5,weight,157.5
Instance of 'Loc'
"Exercise, Romanian Deadlift",Set,2,reps,9,weight,132.5
Instance of 'Loc'
"Exercise, Romanian Deadlift",Set,3,reps,6,weight,132.5
Instance of 'Loc'
"Exercise, Leg Extension",Set,1,reps,13,weight,80
Instance of 'Loc'
"Exercise, Leg Extension",Set,2,reps,11,weight,80
"Exercise, Leg Extension",Set,3,reps,3,weight,80
Instance of 'Loc'
"Exercise, Cable Lateral Raise",Set,1,reps,11,weight,15
Instance of 'Loc'
"Exercise, Cable Lateral Raise",Set,2,reps,10,weight,15
"Exercise, Cable Lateral Raise",Set,3,reps,3,weight,15
Instance of 'Loc'

"JP - Block 4: Week 5, Workout 1",2024-12-18,85.2,7,4,-1,-1
"Exercise, Dumbbell Chest Press",Set,1,reps,12,weight,45
Instance of 'Loc'
"Exercise, Dumbbell Chest Press",Set,2,reps,9,weight,45
Instance of 'Loc'
"Exercise, Dumbbell Chest Press",Set,3,reps,12,weight,35
Instance of 'Loc'
"Exercise, Chin-Up",Set,1,reps,5,bodyweight,85.2,extraWeight,30
Instance of 'Loc'
"Exercise, Chin-Up",Set,2,reps,4,bodyweight,85.2,extraWeight,30
Instance of 'Loc'
"Exercise, Chin-Up",Set,3,reps,11,bodyweight,85.2,extraWeight,5
Instance of 'Loc'
"Exercise, High Incline Dumbbell Shoulder Press ",Set,1,reps,11,weight,28
Instance of 'Loc'
"Exercise, High Incline Dumbbell Shoulder Press ",Set,2,reps,9,weight,28
"Exercise, High Incline Dumbbell Shoulder Press ",Set,3,reps,8,weight,28
"Exercise, One-Handed Cable Row",Set,1,reps,14,weight,45
Instance of 'Loc'
"Exercise, One-Handed Cable Row",Set,2,reps,13,weight,45
"Exercise, One-Handed Cable Row",Set,3,reps,11,weight,45
"Exercise, Overhead Cable Triceps Extension",Set,1,reps,13,weight,60
Instance of 'Loc'
"Exercise, Overhead Cable Triceps Extension",Set,2,reps,12,weight,60
"Exercise, Overhead Cable Triceps Extension",Set,3,reps,11,weight,60
"Exercise, Overhead Cable Triceps Extension",Set,4,reps,8,weight,60
"Exercise, Cable Curl With Bar",Set,1,reps,12,weight,40
Instance of 'Loc'
"Exercise, Cable Curl With Bar",Set,2,reps,11,weight,40
"Exercise, Cable Curl With Bar",Set,3,reps,10,weight,40
"Exercise, Cable Curl With Bar",Set,4,reps,9,weight,40
"Exercise, Single Arm Machine Rear Delt Fly [PARTIAL]",Set,1,reps,15,weight,22.5
Instance of 'Loc'
"Exercise, Single Arm Machine Rear Delt Fly [PARTIAL]",Set,2,reps,14,weight,22.5
"Exercise, Machine Crunch",Set,1,reps,11,weight,32.5
Instance of 'Loc'
"Exercise, Machine Crunch",Set,2,reps,7,weight,27.5

"JP - Block 4: Week 4, Workout 4",2024-12-15,84.9,7,7,5,5
"Exercise, Deadlift",Set,1,reps,3,weight,190
Instance of 'Loc'
"Exercise, Deadlift",Set,2,reps,3,weight,200
Instance of 'Loc'
"Exercise, Deadlift",Set,3,reps,7,weight,160
Instance of 'Loc'
"Exercise, Leg Press",Set,1,reps,6,weight,180
Instance of 'Loc'
"Exercise, Leg Press",Set,2,reps,11,weight,140
Instance of 'Loc'
"Exercise, Leg Press",Set,3,reps,11,weight,140
Instance of 'Loc'
"Exercise, Seated Leg Curl",Set,1,reps,12,weight,75
Instance of 'Loc'
"Exercise, Seated Leg Curl",Set,2,reps,11,weight,75
"Exercise, Seated Leg Curl",Set,3,reps,10,weight,75
"Exercise, Slight Incline Supine Cable Y Raises",Set,1,reps,13,weight,15
Instance of 'Loc'
"Exercise, Slight Incline Supine Cable Y Raises",Set,2,reps,12,weight,15
"Exercise, Slight Incline Supine Cable Y Raises",Set,3,reps,11,weight,15
"Exercise, Standing Calf Raise",Set,1,reps,14,weight,240
Instance of 'Loc'
"Exercise, Standing Calf Raise",Set,2,reps,13,weight,240
"Exercise, Standing Calf Raise",Set,3,reps,12,weight,240
"Exercise, Hack Squat Sissy Squat ",Set,1,reps,10,weight,20
Instance of 'Loc'
"Exercise, Hack Squat Sissy Squat ",Set,2,reps,11,weight,10
"Exercise, Hack Squat Sissy Squat ",Set,3,reps,10,weight,10
"Exercise, Standing Cable Chest Fly",Set,1,reps,16,weight,30
Instance of 'Loc'
"Exercise, Standing Cable Chest Fly",Set,2,reps,14,weight,30
"Exercise, Standing Cable Chest Fly",Set,3,reps,12,weight,30

"JP - Block 4: Week 4, Workout 3",2024-12-14,84.9,7,7,6,3
"Exercise, Bench Press",Set,1,reps,3,weight,125
Instance of 'Loc'
"Exercise, Bench Press",Set,2,reps,3,weight,130
Instance of 'Loc'
"Exercise, Bench Press",Set,3,reps,7,weight,105
Instance of 'Loc'
"Exercise, Bench Press",Set,4,reps,5,weight,105
Instance of 'Loc'
"Exercise, Close-Grip Pulldown [PARTIAL]",Set,1,reps,12,weight,90
Instance of 'Loc'
"Exercise, Close-Grip Pulldown [PARTIAL]",Set,2,reps,11,weight,90
"Exercise, Close-Grip Pulldown [PARTIAL]",Set,3,reps,9,weight,90
"Exercise, Seated Dumbbell Shoulder Press",Set,1,reps,12,weight,26
Instance of 'Loc'
"Exercise, Seated Dumbbell Shoulder Press",Set,2,reps,10,weight,26
"Exercise, Seated Dumbbell Shoulder Press",Set,3,reps,8,weight,26
"Exercise, Seated Machine Row",Set,1,reps,13,weight,65
Instance of 'Loc'
"Exercise, Seated Machine Row",Set,2,reps,12,weight,65
"Exercise, Seated Machine Row",Set,3,reps,10,weight,65
"Exercise, Seated Machine Row",Set,4,reps,9,weight,65
"Exercise, Machine Kelso Shrug",Set,1,reps,10,weight,45
Instance of 'Loc'
"Exercise, Machine Kelso Shrug",Set,2,reps,10,weight,45
"Exercise, Machine Kelso Shrug",Set,3,reps,10,weight,45
"Exercise, Machine Kelso Shrug",Set,4,reps,10,weight,45
"Exercise, Machine Bicep Curl",Set,1,reps,15,weight,30
Instance of 'Loc'
